DateTime,AddedIPs,RemovedIPs
1510346903,2,1
1510347609,9,4
1510348347,4,5
1510349317,1,5
1510350008,1,4
1510350737,5,6
1510351456,5,7
1510352203,9,3
1510353166,11,12
1510355570,10,20
1510356251,8,10
1510356997,3,8
1510357947,10,10
1510358661,2,0
1510359337,2,8
1510360096,4,5
1510360833,8,3
1510361542,9,5
1510362260,5,3
1510362986,12,8
1510363710,4,14
1510364409,5,7
1510365135,9,13
1510365856,6,7
1510366590,6,7
1510367303,8,6
1510368032,8,3
1510368982,12,5
1510369949,10,8
1510370652,7,0
1510371383,5,12
1510372102,4,4
1510372849,6,9
1510373794,9,3
1510374753,13,4
1510375450,6,0
1510376187,3,3
1510376904,8,4
1510377616,8,2
1510378335,6,3
1510379056,9,8
1510379779,4,7
1510380502,5,3
1510381209,8,6
1510381934,7,6
1510382658,6,10
1510383381,6,5
1510384358,9,1
1510385049,5,8
1510385785,7,4
1510386507,3,0
1510387225,2,7
1510388191,10,4
1510389154,6,3
1510389863,10,4
1510390579,8,2
1510391288,6,4
1510392030,6,6
1510392991,8,7
1510393688,6,0
1510394447,4,14
1510395140,3,0
1510395853,4,6
1510396827,4,4
1510397545,6,0
1510398264,9,4
1510398970,7,3
1510399711,6,4
1510400661,8,8
1510401382,7,0
1510402109,10,4
1510402808,10,0
1510403549,6,9
1510404515,8,1
1510405230,11,7
1510405950,13,3
1510406652,2,5
1510407379,7,10
1510408351,7,8
1510409056,7,7
1510409786,11,0
1510410491,7,3
1510411230,4,1
1510412189,9,4
1510413150,5,8
1510414109,11,5
1510414809,6,4
1510415563,7,15
1510416261,5,0
1510417237,9,0
1510418199,13,14
1510418892,7,10
1510419637,4,3
1510420343,11,4
1510421055,6,0
1510422026,5,17
1510424461,28,14
1510425143,5,6
1510425853,6,3
1510426567,5,2
1510427291,6,6
1510428031,0,6
1510428740,12,7
1510429453,4,0
1510430179,6,12
1510430906,8,8
1510431609,8,0
1510432346,3,6
1510433052,4,5
1510433770,5,4
1510434744,7,5
1510435703,2,12
1510436671,13,4
1510437366,7,3
1510438093,1,10
1510438810,3,0
1510439547,9,8
1510440251,5,6
1510440981,3,7
1510441718,9,6
1510442429,7,0
1510443132,4,6
1510443853,5,14
1510444569,6,7
1510445492,4,10
1510446258,5,5
1510447224,7,4
1510448187,9,10
1510448897,4,4
1510449620,2,4
1510450333,4,9
1510451067,3,7
1510451776,4,4
1510452497,12,10
1510453223,4,8
1510453946,9,2
1510454650,6,3
1510455374,16,10
1510456088,5,12
1510456823,9,4
1510457545,8,4
1510458263,4,5
