DateTime,Entries,UniqueIPs
1510247073,29985,29985
1510248031,29982,29982
1510249239,30037,30037
1510250182,29993,29993
1510251138,29795,29795
1510252115,29931,29931
1510253067,30037,30037
1510254057,30073,30073
1510254989,30134,30134
1510255953,30049,30049
1510256899,29979,29979
1510257875,29920,29920
1510258825,29955,29955
1510259775,29906,29906
1510260755,29919,29919
1510261694,29913,29913
1510262668,29851,29851
1510263633,29917,29917
1510264583,29921,29921
1510265549,29943,29943
1510266507,29884,29884
1510268507,29900,29900
1510269611,29874,29874
1510270582,29869,29869
1510271543,29874,29874
1510272496,29821,29821
1510273453,29859,29859
1510274436,29807,29807
1510275374,29824,29824
1510276363,29773,29773
1510277295,29771,29771
1510278278,29836,29836
1510279233,29820,29820
1510280208,29833,29833
1510281152,29815,29815
1510282098,29830,29830
1510283076,29852,29852
1510284035,29817,29817
1510284982,29805,29805
1510285949,29763,29763
1510286897,29682,29682
1510287888,29668,29668
1510288814,29791,29791
1510289813,29762,29762
1510290735,29720,29720
1510291725,29710,29710
1510292658,29713,29713
1510293631,29698,29698
1510294601,29717,29717
1510295550,29586,29586
1510296506,29517,29517
1510297480,29529,29529
1510298418,29434,29434
1510299403,29372,29372
1510300340,29563,29563
1510301309,29524,29524
1510302252,29475,29475
1510303244,29452,29452
1510304172,29499,29499
1510305165,29220,29220
1510306096,29324,29324
1510307073,29499,29499
1510308028,29529,29529
1510309007,29513,29513
1510309938,29540,29540
1510310914,29526,29526
1510311864,29519,29519
1510312818,29529,29529
1510313795,29539,29539
1510314755,29561,29561
1510315698,29575,29575
1510316671,29494,29494
1510317625,29600,29600
1510318591,29628,29628
1510319546,29706,29706
1510320522,29665,29665
1510321452,29752,29752
1510322449,29855,29855
1510323696,29951,29951
1510324810,30000,30000
1510325780,30001,30001
1510326744,30007,30007
1510327690,30028,30028
1510328668,29975,29975
1510329614,30101,30101
1510330592,30100,30100
1510331549,30024,30024
1510332525,29960,29960
1510333466,30103,30103
1510334433,29939,29939
1510335388,30110,30110
1510336346,30150,30150
1510337295,30141,30141
1510338267,30124,30124
1510339215,30160,30160
1510340189,30203,30203
1510341155,30205,30205
1510342105,30187,30187
1510343070,30185,30185
1510344019,30190,30190
1510344986,30218,30218
1510345951,30209,30209
1510346916,30188,30188
1510347869,30242,30242
1510348817,30319,30319
1510349791,30295,30295
1510350749,30254,30254
1510351708,30256,30256
1510352677,30264,30264
1510353617,30076,30076
1510355595,30268,30268
1510356503,30255,30255
1510357543,30260,30260
1510358674,30269,30269
1510359639,30249,30249
1510360846,30077,30077
1510361788,30057,30057
1510362735,30216,30216
1510363725,30094,30094
1510364659,30221,30221
1510365628,30221,30221
1510366603,30243,30243
1510367542,30267,30267
1510368523,30174,30174
1510369464,30334,30334
1510370416,30378,30378
1510371396,30232,30232
1510372338,30362,30362
1510373308,30276,30276
1510374261,30455,30455
1510375212,30478,30478
1510376199,30486,30486
1510377134,30524,30524
1510378104,30541,30541
1510379069,30438,30438
1510380030,30595,30595
1510380989,30568,30568
1510381949,30525,30525
1510382905,30578,30578
1510383870,30591,30591
1510384813,30572,30572
1510385798,30545,30545
1510386732,30451,30451
1510387720,30334,30334
1510388664,30327,30327
1510389612,30427,30427
1510390592,30199,30199
1510391555,30306,30306
1510392503,30131,30131
1510393455,30239,30239
1510394460,30032,30032
1510395389,30177,30177
1510396351,30014,30014
1510397298,30122,30122
1510398278,30001,30001
1510399232,29974,29974
1510400232,29905,29905
1510401134,30020,30020
1510402123,29940,29940
1510403059,30067,30067
1510404020,29954,29954
1510404972,29938,29938
1510405963,29788,29788
1510406900,29882,29882
1510407872,29563,29563
1510408835,29680,29680
1510409799,29517,29517
1510410759,29476,29476
1510411716,29426,29426
1510412666,29384,29384
1510413619,29349,29349
1510414591,29302,29302
1510415575,29272,29272
1510416494,29205,29205
1510417700,29183,29183
1510418674,29187,29187
1510419650,29162,29162
1510420578,29184,29184
1510421541,29091,29091
1510422519,29001,29001
1510424475,29000,29000
1510425617,28752,28752
1510426581,28864,28864
1510427545,28796,28796
1510428499,28718,28718
1510429465,28637,28637
1510430426,28459,28459
1510431376,28556,28556
1510432359,28410,28410
1510433300,28496,28496
1510434262,28441,28441
1510435227,28233,28233
1510436179,28361,28361
1510437144,28394,28394
1510438107,28321,28321
1510439064,28356,28356
1510440012,28251,28251
1510440994,28061,28061
1510441945,28166,28166
1510442901,28168,28168
1510443866,28175,28175
1510444846,28167,28167
1510445802,28137,28137
1510446743,28128,28128
1510447711,28103,28103
1510448660,28107,28107
1510449633,28044,28044
1510450584,28122,28122
1510451534,28123,28123
1510452510,28106,28106
1510453464,28102,28102
1510454423,28138,28138
1510455386,28177,28177
1510456344,28162,28162
1510457300,28104,28104
1510458276,28079,28079
1510459240,28121,28121
1510460179,28100,28100
1510461169,28132,28132
1510462109,28070,28070
1510463065,28075,28075
1510464030,28061,28061
1510465002,28050,28050
1510465932,27991,27991
1510466908,28003,28003
1510467852,27986,27986
1510468834,27966,27966
1510469779,27954,27954
1510470739,27946,27946
1510471718,27899,27899
1510472661,27871,27871
1510473621,27806,27806
1510474603,27745,27745
1510475538,27783,27783
1510476527,27765,27765
1510477463,27724,27724
1510478423,27690,27690
1510479373,27722,27722
1510480366,27699,27699
1510481295,27588,27588
1510482321,27578,27578
1510483470,27572,27572
1510484668,27555,27555
1510485613,27527,27527
1510486587,27514,27514
1510487542,27388,27388
1510488530,27364,27364
1510489462,27332,27332
1510490417,27435,27435
1510491395,27245,27245
1510492361,27337,27337
1510493303,27156,27156
1510495280,27137,27137
1510496181,27258,27258
1510497155,27267,27267
1510498367,27169,27169
1510499292,27164,27164
1510500265,27214,27214
1510501213,27196,27196
1510502183,27221,27221
1510503146,27165,27165
1510504096,27289,27289
1510505070,27274,27274
1510506023,27249,27249
1510506991,27125,27125
1510507951,27145,27145
1510508908,27289,27289
1510509871,27156,27156
1510510814,27308,27308
1510512028,27197,27197
1510512983,27196,27196
1510513947,27186,27186
1510514893,27303,27303
1510515865,27361,27361
1510516818,27372,27372
1510517790,27278,27278
1510518752,27455,27455
1510519708,27326,27326
1510520662,27467,27467
1510521633,27372,27372
1510522575,27497,27497
1510523556,27396,27396
1510524494,27511,27511
1510525466,27363,27363
1510526413,27353,27353
1510527394,27487,27487
1510528336,27515,27515
1510529308,27402,27402
1510530269,27439,27439
1510531224,27572,27572
1510532191,27524,27524
1510533137,27484,27484
1510534117,27354,27354
1510535337,27423,27423
1510536257,27329,27329
1510537225,27374,27374
1510538183,27389,27389
1510539157,27428,27428
1510540092,27405,27405
1510541066,27446,27446
1510542030,27420,27420
1510543005,27443,27443
1510543952,27444,27444
1510544899,27428,27428
1510545873,27464,27464
1510546834,27465,27465
1510547784,27506,27506
1510548744,27455,27455
1510549704,27467,27467
1510550665,27511,27511
1510551636,27505,27505
1510552572,27483,27483
1510553550,27498,27498
1510554506,27527,27527
1510555457,27498,27498
1510556423,27514,27514
1510557405,27514,27514
1510558367,27505,27505
1510559308,27549,27549
1510560258,27570,27570
1510561224,27562,27562
1510562208,27577,27577
1510563131,27619,27619
1510564107,27622,27622
1510565069,27624,27624
1510566045,27633,27633
1510566983,27710,27710
1510567935,27709,27709
1510568916,27767,27767
1510569860,27911,27911
1510570839,27899,27899
1510571793,27912,27912
1510573451,27942,27942
1510574428,27992,27992
1510575401,28017,28017
1510576335,28071,28071
1510577306,28124,28124
1510578271,28152,28152
1510579227,28233,28233
1510581459,28303,28303
1510582580,28406,28406
1510583559,28316,28316
1510584495,28474,28474
1510585705,28395,28395
1510586655,28478,28478
1510587626,28440,28440
1510588590,28485,28485
1510589548,28518,28518
1510590494,28654,28654
1510591467,28743,28743
1510592441,28708,28708
1510593392,28689,28689
1510594347,28869,28869
1510595317,28819,28819
1510596258,28980,28980
1510597230,28839,28839
1510598189,29020,29020
1510599144,29080,29080
1510600107,29060,29060
1510601051,29133,29133
1510602026,29138,29138
1510602984,29168,29168
1510603939,29233,29233
1510604904,29313,29313
1510605867,29370,29370
1510606947,29465,29465
1510608025,29537,29537
1510608986,29473,29473
1510609934,29637,29637
1510610921,29710,29710
1510611858,29914,29914
1510612828,29835,29835
1510613792,29995,29995
1510614735,30035,30035
1510615703,30084,30084
1510616669,30087,30087
1510617628,30022,30022
1510618545,30170,30170
1510619550,30082,30082
1510620497,30208,30208
1510621478,30195,30195
1510622428,30247,30247
1510623375,30262,30262
1510624360,30294,30294
1510625300,30311,30311
1510626277,30311,30311
1510627223,30329,30329
1510628186,30342,30342
1510629150,30333,30333
1510630096,30355,30355
1510631068,30412,30412
1510632026,30483,30483
1510632989,30524,30524
1510633962,30537,30537
1510634894,30527,30527
1510635864,30505,30505
1510636841,30454,30454
1510637776,30504,30504
1510638756,30527,30527
1510639699,30546,30546
1510640667,30554,30554
1510641625,30560,30560
1510642846,30504,30504
1510643781,30592,30592
1510644759,30580,30580
1510645696,30565,30565
1510646673,30442,30442
1510647616,30583,30583
1510648574,30668,30668
1510649545,30757,30757
1510650521,31199,31199
1510651462,31428,31428
1510652422,31422,31422
1510653383,31415,31415
1510654347,31412,31412
1510656277,31405,31405
1510658196,31393,31393
1510660104,31388,31388
1510661074,31379,31379
1510662032,31377,31377
1510662988,29933,29933
1510663945,29808,29808
1510664899,29980,29980
1510666906,29852,29852
1510668017,29780,29780
1510669003,29719,29719
1510669942,29778,29778
1510670905,29523,29523
1510671875,29584,29584
1510672832,29531,29531
1510673779,29374,29374
1510674758,29272,29272
1510675695,29447,29447
1510676655,29498,29498
1510677615,29592,29592
1510678582,29755,29755
1510679569,30069,30069
1510680748,30164,30164
1510681700,30524,30524
1510682683,30746,30746
1510683615,31044,31044
1510684588,31157,31157
1510685545,31308,31308
1510686504,31452,31452
1510687484,31301,31301
1510688671,31357,31357
1510689577,31334,31334
1510690837,31354,31354
1510691740,31351,31351
1510692861,31353,31353
1510693828,31388,31388
1510695740,31406,31406
1510696812,31435,31435
1510697813,31404,31404
1510698757,31397,31397
1510699707,31371,31371
1510700667,31321,31321
1510701641,31291,31291
1510702597,31286,31286
1510703536,31312,31312
1510704724,31332,31332
1510705729,31245,31245
1510706661,31263,31263
1510707626,31292,31292
1510708602,31266,31266
1510709569,31256,31256
1510710510,31259,31259
1510711475,31228,31228
1510712426,31160,31160
1510713390,31163,31163
1510714344,31172,31172
1510715299,31145,31145
1510716257,31061,31061
1510717231,30955,30955
1510718182,31009,31009
1510719149,31037,31037
1510720104,31038,31038
1510721069,30980,30980
1510722036,30956,30956
1510722993,31047,31047
1510723951,30996,30996
1510724904,30956,30956
1510725861,30956,30956
1510726843,30961,30961
1510727781,30948,30948
1510728752,30859,30859
1510729695,30880,30880
1510730694,30881,30881
1510731612,30882,30882
1510732598,30915,30915
1510733561,31023,31023
1510734506,31092,31092
1510735480,30952,30952
1510736435,30830,30830
1510737492,30715,30715
1510738842,30695,30695
1510740749,30674,30674
1510742720,30660,30660
1510743634,30655,30655
1510744636,30653,30653
