DateTime,AddedIPs,RemovedIPs
1510244197,13,14
1510245133,8,0
1510246096,6,10
1510247071,8,2
1510248029,9,10
1510249236,10,2
1510250179,9,8
1510251136,5,13
1510252112,1,0
1510253064,11,0
1510254054,6,5
1510254987,12,2
1510255950,6,8
1510256895,13,11
1510257872,7,5
1510258822,14,8
1510259772,10,8
1510260752,14,11
1510261692,6,8
1510262666,4,7
1510263631,10,6
1510264581,10,5
1510265546,7,8
1510266504,3,6
1510268505,29,10
1510269609,8,8
1510270579,5,10
1510271540,16,14
1510272493,15,35
1510273451,16,19
1510274434,12,28
1510275371,11,21
1510276360,11,32
1510277292,15,17
1510278276,15,18
1510279231,15,18
1510280205,10,16
1510281149,15,16
1510282096,20,15
1510283073,24,9
1510284032,6,13
1510284979,28,7
1510285946,28,10
1510286894,12,14
1510287886,23,14
1510288811,36,0
1510289811,17,16
1510290733,25,11
1510291723,16,8
1510292655,26,7
1510293628,17,15
1510294599,16,7
1510295547,20,16
1510296503,15,12
1510297478,10,12
1510298416,16,13
1510299400,25,14
1510300337,27,0
1510301306,14,19
1510302249,13,15
1510303241,14,19
1510304170,10,13
1510305163,12,28
1510306093,7,0
1510307071,22,0
1510308025,10,7
1510309004,12,3
1510309936,7,12
1510310912,14,10
1510311862,16,11
1510312815,18,4
1510313793,10,7
1510314752,16,10
1510315695,16,7
1510316669,13,6
1510317623,17,5
1510318588,10,15
1510319543,11,4
1510320519,12,6
1510321449,15,7
1510322446,12,6
1510323693,8,11
1510324807,21,10
1510325778,4,7
1510326741,7,7
1510327688,1,4
1510328665,13,11
1510329611,9,0
1510330589,3,4
1510331546,9,14
1510332522,8,10
1510333463,10,0
1510334431,11,26
1510335386,8,0
1510336344,7,9
1510337292,6,5
1510338265,7,4
1510339212,5,5
1510340187,7,3
1510341153,4,5
1510342102,2,7
1510343067,4,3
1510344016,7,1
1510344983,6,9
1510345949,6,4
1510346914,11,8
1510347866,5,2
1510348815,5,3
1510349788,6,7
1510350747,8,5
1510351706,2,7
1510352674,9,3
1510353615,10,7
1510355592,19,7
1510356500,7,12
1510357541,5,7
1510358672,5,18
1510359637,8,28
1510360844,19,59
1510361786,11,35
1510362733,20,0
1510363723,17,64
1510364656,22,0
1510365625,15,15
1510366601,24,17
1510367539,10,12
1510368521,24,30
1510369462,17,0
1510370414,19,15
1510371394,8,40
1510372336,18,0
1510373306,13,23
1510374259,18,0
1510375209,16,10
1510376197,16,10
1510377131,13,13
1510378102,10,15
1510379066,8,17
1510380027,9,0
1510380987,4,17
1510381946,9,12
1510382902,8,7
1510383867,10,14
1510384811,12,16
1510385796,6,14
1510386729,9,13
1510387718,10,23
1510388661,12,16
1510389609,11,0
1510390590,8,24
1510391552,7,0
1510392500,10,22
1510393453,12,0
1510394457,11,34
1510395387,6,0
1510396348,15,37
1510397295,2,0
1510398275,10,25
1510399229,6,16
1510400229,6,19
1510401132,8,0
1510402120,7,24
1510403057,13,0
1510404017,5,11
1510404970,6,10
1510405961,9,30
1510406897,7,0
1510407870,4,25
1510408832,6,0
1510409796,6,10
1510410757,8,16
1510411714,7,6
1510412664,5,11
1510413617,8,13
1510414588,9,20
1510415573,7,30
1510416491,4,15
1510417698,8,18
1510418671,5,20
1510419648,6,20
1510420575,4,11
1510421538,4,22
1510422517,6,15
1510424473,9,20
1510425614,5,32
1510426578,3,0
1510427543,7,14
1510428497,3,4
1510429463,8,17
1510430424,4,32
1510431374,2,0
1510432357,3,17
1510433298,1,0
1510434260,3,16
1510435224,4,18
1510436176,2,0
1510437141,2,13
1510438104,10,9
1510439061,1,5
1510440010,7,15
1510440991,4,17
