DateTime,AddedIPs,RemovedIPs
1510424522,53,74
1510425121,3,6
1510425181,0,4
1510425721,1,0
1510426326,54,140
1510426921,3,0
1510426978,0,3
1510427521,6,6
1510428721,8,3
1510428782,2,0
1510429321,3,3
1510429921,2,5
1510431121,19,14
1510431722,2,3
1510432084,61,57
1510432321,1,2
1510432921,1,3
1510433521,10,5
1510434014,64,0
1510434721,8,4
1510435921,32,5
1510435922,51,13
1510435981,2,0
1510436521,6,4
1510438321,1,146
1510438921,0,4
1510439521,1,0
1510439582,1,0
1510440121,2,1
1510440721,2,1
1510441378,4,0
1510441684,60,0
1510441921,4,8
1510442521,6,8
1510443122,6,0
1510443605,0,76
1510444321,12,0
1510445521,54,39
1510445770,37,0
1510446721,1,1
1510446781,12,5
1510447322,15,2
1510447683,83,152
1510448521,1,8
1510448578,0,1
1510449121,3,13
1510450321,1,12
1510450381,1,0
1510451521,12,3
1510451522,77,0
1510452121,3,0
1510452178,0,1
1510453321,52,6
1510453921,2,4
1510454521,3,0
1510455121,0,3
1510455364,56,157
1510456321,1,0
1510456921,3,1
1510457521,25,5
1510457581,5,0
1510458721,4,11
1510459212,74,0
1510459922,19,15
1510460521,2,4
1510461121,0,1
1510462921,9,3
1510463044,77,169
1510463521,10,11
1510464122,5,0
1510464721,6,2
1510464963,68,0
1510465921,5,8
1510466521,2,0
1510466579,0,3
1510467721,0,4
1510468921,23,7
1510469522,224,150
1510470179,5,16
1510470721,4,0
1510471321,1,0
1510472521,2,4
1510472644,66,0
1510473121,0,4
1510473779,0,3
1510474322,1,0
1510474563,0,46
1510474921,0,2
1510475521,6,0
1510475581,1,0
1510476721,6,4
1510477921,1,9
1510478402,65,0
1510479121,48,6
1510479721,19,4
1510480324,60,91
1510480922,2,0
1510480978,0,3
1510481521,9,9
1510482721,16,5
1510482782,3,0
1510483921,8,9
1510484165,73,0
1510484578,0,6
1510485121,2,0
1510485722,13,3
1510486321,18,4
1510487521,0,14
1510488022,0,61
1510488721,16,19
1510489922,11,4
1510489923,125,0
1510489981,16,13
1510490521,2,0
1510491121,4,2
1510492321,25,59
1510492329,4,0
1510492921,8,2
1510495321,91,24
1510495378,0,2
1510495921,1,3
1510496521,9,10
1510497123,54,82
1510498322,6,13
1510499521,5,57
1510500121,3,4
1510500721,2,9
1510500962,56,0
1510501321,3,0
1510501921,4,0
1510503121,6,1
1510504321,90,141
1510504381,1,0
1510504804,77,0
1510504921,2,2
1510505521,0,11
1510506721,3,0
1510506970,34,10
1510507921,1,8
1510509122,16,76
1510510321,16,10
1510510562,74,0
1510510921,6,7
1510511522,1,11
1510512121,1,5
