DateTime,Entries,UniqueIPs
1510349314,42423,59075
1510349437,42423,58820
1510350794,42514,58911
1510351240,42546,58940
1510352108,42407,58800
1510353163,42564,58960
1510353609,42455,58853
1510355567,42428,58825
1510356320,42580,58979
1510357538,42345,58742
1510359007,42386,58789
1510359635,42384,58787
1510360234,42385,59043
1510361108,42348,59005
1510361539,42369,59026
1510362906,42241,58898
1510363454,42253,58911
1510363808,42101,58760
1510364527,42076,58730
1510365380,42078,58477
1510365648,41988,58385
1510366507,42121,58524
1510367300,42133,58536
1510367435,42250,58654
1510368307,42063,58464
1510369220,42105,58506
1510369806,41983,58380
1510370707,42113,58510
1510371138,42119,58515
1510371727,41808,58198
1510372849,41730,58121
1510373060,41749,58142
1510373708,41902,58296
1510374635,41731,58122
1510374982,41746,58136
1510375508,41897,58289
1510375813,41897,57015
1510376902,41939,57056
1510377253,41855,56976
1510378208,41641,56762
1510378812,41638,56762
1510379107,41763,56886
1510379766,41893,57016
1510380738,42395,57540
1510381844,42395,57794
1510382655,42330,57720
1510383013,42542,57935
1510384098,42298,57693
1510384599,42310,57706
1510386135,41970,57363
1510386504,42003,57396
1510386967,42069,57463
1510388119,41812,57204
1510388658,41838,57233
1510389609,41586,56979
1510390576,41677,57072
1510391409,41296,56686
1510392498,41393,56786
1510393508,40918,56308
1510394444,40758,56145
1510395315,40789,56176
1510396346,40788,56175
1510396507,40520,55656
1510397500,40420,55557
1510398261,40418,55555
1510398607,40232,55369
1510399507,40305,55443
1510400227,40298,55437
1510400416,40003,54884
1510401309,40069,54953
1510402106,40074,54700
1510402516,39704,54329
1510403450,39705,54075
1510404014,39701,54071
1510404317,3774,17909
1510405190,39160,53533
1510405946,39155,53531
1510406114,39220,53596
1510407868,39221,53596
1510408567,38991,53368
1510409409,38668,53043
1510409783,38671,53050
1510410240,38721,53102
1510411213,38293,52669
1510411712,38284,52662
1510412167,38339,52717
1510413255,38129,52504
1510413614,38135,52509
1510414213,37839,52211
1510415106,37777,52147
1510415559,37756,52125
1510416047,37556,51925
1510416907,37666,52039
1510417696,37673,52044
1510417826,37377,51745
1510419633,37375,51742
1510420206,37249,51617
1510421410,37058,51428
1510421536,35780,50122
1510422308,35738,50082
1510424458,40363,54810
1510424888,43319,57792
