DateTime,AddedIPs,RemovedIPs
1510477505,63,20
1510478103,13,13
1510478418,5,9
1510479004,18,54
1510479603,17,10
1510480349,20,11
1510480805,27,10
1510481404,34,16
1510481706,9,20
1510482311,17,1
1510482903,70,27
1510483506,82,21
1510484206,25,22
1510484704,8,16
1510485304,48,31
1510486122,38,124
1510486206,61,20
1510486805,64,18
1510487109,31,57
1510487705,81,22
1510488059,18,5
1510488515,44,4
1510488903,29,20
1510489953,71,31
1510490105,46,19
1510490412,1,0
1510490705,79,18
1510491304,18,23
1510491872,14,15
1510491905,31,34
1510492504,64,26
1510493105,44,18
1510495262,188,97
1510495805,29,17
1510496409,60,102
1510497150,48,32
1510497604,50,18
1510498204,21,17
1510498805,33,14
1510499057,9,20
1510499405,54,22
1510499789,19,28
1510500005,47,33
1510500606,32,43
1510501209,130,60
1510501805,24,36
1510502405,52,21
1510502896,7,13
1510503138,52,22
1510503604,25,13
1510503906,29,27
1510504503,40,11
1510504810,8,6
1510505108,25,61
1510505704,54,32
1510506305,33,14
1510506740,13,8
1510506904,40,20
1510507504,92,14
1510508104,28,11
1510508704,47,20
1510509315,22,106
1510509904,15,14
1510510628,25,25
1510511104,23,16
1510512007,28,85
1510512604,26,8
1510513205,14,17
1510513805,29,14
1510514428,18,26
1510515004,7,10
1510515306,52,26
1510516350,27,31
1510516504,6,10
1510517104,6,17
1510517781,33,16
1510518281,543,161
1510518304,53,8
1510518904,34,14
1510519504,39,17
1510520184,28,62
1510520404,48,12
1510521004,57,15
1510521604,38,13
1510522099,12,0
1510522205,55,37
1510522804,23,18
1510523405,32,22
1510524041,32,39
1510524620,25,110
1510525204,19,6
1510525950,19,19
1510526104,21,17
1510526706,21,19
1510527305,13,18
1510527869,7,11
1510527905,10,20
1510528505,41,26
1510529105,12,19
1510529703,22,13
1510530304,18,10
1510530905,14,17
1510531907,37,45
1510532105,22,20
1510532405,24,0
1510532704,17,14
1510533305,20,23
1510533854,21,6
1510534101,24,17
1510534504,25,17
1510534816,14,87
1510535821,29,18
1510536004,15,36
1510536604,10,14
1510537205,19,14
1510537703,13,11
1510537804,16,29
1510538407,26,32
1510538889,2,0
1510539004,17,18
1510539634,43,20
1510540204,18,15
1510540804,37,15
1510541551,28,21
1510542004,17,15
1510542604,11,23
1510543468,28,27
1510543804,29,8
1510544405,36,18
1510545004,41,20
1510545373,14,16
1510545604,12,12
1510546207,60,57
1510546803,39,8
1510547300,12,1
1510547705,74,22
1510548304,30,10
1510549237,81,36
1510549508,32,91
1510550103,18,7
1510550704,71,19
1510551006,10,25
1510551604,59,7
1510552204,22,7
1510552806,57,22
1510553061,15,9
1510553404,39,18
1510554005,28,16
1510554607,4,30
1510555203,32,8
1510555950,17,57
1510556106,11,21
1510556704,63,10
1510557304,29,12
1510557905,20,13
1510558504,22,22
1510559106,22,31
1510559806,55,52
1510560304,29,27
1510560905,19,17
1510561504,53,11
1510562182,37,12
1510562704,30,18
1510563306,118,29
1510563611,7,9
1510563907,45,56
1510564504,53,15
1510565551,39,13
1510565705,78,20
1510566305,65,11
1510566905,203,17
1510567460,4,7
1510567505,42,43
1510568104,63,21
1510568705,35,21
1510569388,60,46
1510569609,19,39
1510570204,64,40
1510570805,26,14
1510571405,34,29
1510572004,29,39
1510572308,12,43
1510572906,25,52
1510573210,9,16
1510573508,40,55
1510574106,17,66
1510574705,43,28
1510575305,27,31
1510575906,62,48
1510576507,64,47
1510576813,11,2
1510577047,5,16
1510577405,23,79
1510577769,2,0
1510578006,16,22
1510578605,41,38
1510578973,4,5
