DateTime,AddedIPs,RemovedIPs
1510476492,0,2
1510476966,2,0
1510477929,0,1
1510478409,1,5
1510478887,4,4
1510479364,4,1
1510479849,2,0
1510480327,0,2
1510480819,2,0
1510482247,0,3
1510482730,3,0
1510483205,0,2
1510483925,1,4
1510484651,5,4
1510485129,1,1
1510485604,2,1
1510486093,3,0
1510486566,0,1
1510487049,0,4
1510487525,2,1
1510488030,4,2
1510488487,2,1
1510488970,0,3
1510489445,4,6
1510489932,6,6
1510490405,6,1
1510490889,1,2
1510491366,2,1
1510491851,1,1
1510492324,1,2
1510492810,2,4
1510493286,4,1
1510495230,1,3
1510495688,2,0
1510496165,0,3
1510496645,3,1
1510497128,1,0
1510497605,1,4
1510498330,3,1
1510498813,2,1
1510499285,0,1
1510499770,1,3
1510500245,3,3
1510500731,3,2
1510501204,3,2
1510501688,1,1
1510502166,2,1
1510502646,1,1
1510503124,0,3
1510503604,3,0
1510504087,1,0
1510504564,0,2
1510505049,2,4
1510505525,3,1
1510506013,1,1
1510506486,1,2
1510506967,3,0
1510507448,0,2
1510507930,2,2
1510508406,2,2
1510508889,1,3
1510509366,3,1
1510509846,2,2
1510510326,3,1
1510510805,1,2
1510511532,1,1
1510512004,2,0
1510512487,0,1
1510512965,1,4
1510513447,3,2
1510513925,3,0
1510514411,0,4
1510514885,4,0
1510516329,0,2
1510516810,2,0
1510517290,0,2
1510517767,2,0
1510518247,0,1
1510518729,1,3
1510519206,3,1
1510519689,1,2
1510520169,2,0
1510520647,0,2
1510521125,2,0
1510521609,0,4
1510522089,4,0
1510522564,0,4
1510523045,3,2
1510523524,3,0
1510524025,0,2
1510524486,2,1
1510524966,1,3
1510525444,2,1
1510525928,1,0
1510526404,1,1
1510526884,1,1
1510527365,1,0
1510527853,0,4
1510528328,4,0
1510528806,0,2
1510529291,2,0
1510529766,0,3
1510530246,3,3
1510530725,0,2
1510531217,5,0
1510531689,0,1
1510532171,1,0
1510532644,0,3
1510533125,3,3
1510533608,3,0
1510534086,0,2
1510534565,1,2
1510535293,12,19
1510535771,12,10
1510536245,26,26
1510536731,9,9
1510537205,11,15
1510537690,16,12
1510538165,12,17
1510538649,11,9
1510539127,5,9
1510539612,5,0
1510540085,3,4
1510540564,1,2
1510541044,4,1
1510541532,2,1
1510542012,1,6
1510542486,6,2
1510542970,2,1
1510543447,1,5
1510543929,4,3
1510544405,4,1
1510544889,0,5
1510545368,5,1
1510545847,1,3
1510546325,3,2
1510546809,3,2
1510547291,0,1
1510547764,2,0
1510548248,1,0
1510548724,0,2
1510549219,2,0
1510549686,0,2
1510550167,0,2
1510550650,3,1
1510551128,1,3
1510551606,4,0
1510552088,0,4
1510552566,4,0
1510553048,0,7
1510553528,7,2
1510554005,2,4
1510554490,4,3
1510554967,3,2
1510555447,2,0
1510556888,0,1
1510557370,0,3
1510557845,4,0
1510558329,0,3
1510558807,3,0
1510559289,0,2
1510559765,1,3
1510560246,3,0
1510560727,0,3
1510561204,3,4
1510561688,5,3
1510562166,0,1
1510562652,4,1
1510563124,1,3
1510563606,3,0
1510564086,0,2
1510564568,1,5
1510565045,6,1
1510565529,1,2
1510566006,2,0
1510566489,0,5
1510566965,5,1
1510567447,1,1
1510567924,1,1
1510568410,1,4
1510568886,4,2
1510569366,2,3
1510569846,3,2
1510570331,2,3
1510570820,2,4
1510571286,5,5
1510571770,5,2
1510572247,2,3
1510572726,3,6
1510573206,3,1
1510573690,4,1
1510574167,1,5
1510574646,3,0
1510575125,2,0
1510575844,0,3
1510576325,3,2
1510576810,2,1
1510577284,1,0
1510577767,0,1
1510578245,1,1
1510578727,1,0
1510579204,0,2
1510581373,1,4
1510582089,5,1
1510582572,1,3
1510583047,3,4
1510583525,1,3
1510584005,5,0
1510584486,1,1
1510585224,1,3
1510585686,3,0
1510586170,0,1
1510586644,1,0
1510587609,0,4
1510588567,4,1
1510589053,1,1
1510589528,1,2
1510590004,2,0
1510590487,0,1
1510591027,1,1
1510591445,1,1
1510592420,1,4
1510592890,3,3
1510593366,4,0
1510593847,0,2
1510594327,2,2
